observation_date,labor_hours_index,gdp,deflator,investment_nominal,investment_real,capital,labor_growth,gdp_growth,capital_growth
1998-10-01,2.5,13191.67,70.453,521616750000.0,29615019942.37293,474338055203.72723,0.025,0.015963862490524505,0.01198467572850248
1999-01-01,1.8,13315.597,70.682,531684250000.0,30088806202.427773,480236172385.91376,0.018000000000000002,0.009350485127447072,0.01235774457736838
1999-04-01,1.8,13426.748,70.949,543935500000.0001,30666281413.40964,486313169969.04584,0.018000000000000002,0.008312781849570072,0.012574790326574714
1999-07-01,2.3,13604.771,71.2,555815250000.0,31225575842.69663,492663792884.0032,0.023,0.013171703285781433,0.012974180677812086
1999-10-01,1.5,13827.98,71.595,563286250000.0,31470703261.400936,499256179082.49963,0.015,0.016273535671066597,0.013292369244123137
2000-01-01,2.1,13878.147,72.071,580912000000.0,32241095586.29685,505764073389.7756,0.021,0.003621369008051545,0.012950953482945948
2000-04-01,1.8,14130.908,72.52,592789750000.0,32696621621.621624,512716965306.5836,0.018000000000000002,0.01804901034497952,0.013653665933830439
2000-07-01,1.1,14145.312,72.944,597235250000.0,32750342728.668568,519777738662.87604,0.011000000000000001,0.0010188067037173454,0.01367732618857076
2000-10-01,0.3,14229.765,73.337,601776500000.0,32822531600.69269,526539194458.4008,0.003,0.005952635784890248,0.01292447766424587
2001-01-01,-0.1,14183.12,73.822,600710250000.0,32549118149.061253,533034766336.17346,-0.001,-0.0032833724491432292,0.012260877467195286
2001-04-01,-1.4,14271.694,74.266,600877750000.0,32363544556.05526,538932146168.426,-0.013999999999999999,0.006225609914771724,0.011003024927905614
2001-07-01,-2.6,14214.516,74.558,594626750000.0,31901432441.85734,544349083416.05994,-0.026000000000000002,-0.004014439041817752,0.010001063898034346
2001-10-01,-3.3,14253.574,74.792,588794000000.0,31489678040.432133,549033061687.11426,-0.033,0.002743986302357726,0.008567922836423492
2002-01-01,-4.1,14372.785,75.027,586771000000.0,31283191384.434937,553071086643.1907,-0.040999999999999995,0.008328805568895703,0.007327879187471353
2002-04-01,-2.9,14460.848,75.289,587640750000.0,31220536864.615017,556700723695.4661,-0.028999999999999998,0.006108371693470005,0.006541254626458937
2002-07-01,-2.1,14519.633,75.65,588707500000.0,31127957699.933903,560086224375.3077,-0.021,0.004056874047378756,0.006062948812960656
2002-10-01,-0.8,14537.58,76.089,590999500000.0,31068853579.36101,563209870856.4762,-0.008,0.001235287243973815,0.0055615870934602185
2003-01-01,-0.5,14614.141,76.461,597812750000.0,31274126678.960518,566118230893.0133,-0.005,0.005252600765849991,0.005150613823641237
2003-04-01,-1.0,14743.567,76.73,609291000000.0,31762856770.49394,569086446027.3231,-0.01,0.008817230452867975,0.005229403928446175
2003-07-01,-0.5,14988.782,77.169,628234250000.0,32564073656.520107,572394980496.4508,-0.005,0.016495202585943503,0.005796929599295453
2003-10-01,-0.2,15162.76,77.639,641845000000.0,33068174499.92916,576339305128.1483,-0.002,0.011540367047402356,0.00686728024415828
